V27.317.962,CU1-1
V20.100.200,CU2-1
V21.100.200,CU3-1
V22.100.200,CU4-2
V23.100.200,CU5-2
V24.100.200,CU6-2
V25.854.917,CU7-3
V7.391.323,CU8-3
V29.703.585,CU9-3
V28.604.069,CU10-4
V7.330.444,CU11-4
V30.759.538,CU12-4
V20.458.789,CU13-5
V10.258.789,CU14-5
V13.546.879,CU15-5
V18.789.456,CU16-6
V22.456.879,CU17-6
V25.468.752,CU18-6
V11.236.123,CU19-7
V20.546.548,CU20-7
V19.852.463,CU21-7
V25.468.954,CU22-8
V28.789.546,CU23-8
V9.456.852,CU24-8
V28.363.935,CU25-9
V9.048.980,CU26-9
V7.195.130,CU27-9
V5.686.305,CU28-10
V15.447.983,CU29-10
V25.688.193,CU30-10
V28.157.209,CU13-5
V14.913.751,CU13-5
V5.258.496,CU14-5
V13.200.777,CU14-5
V7.999.328,CU15-5
V4.000.018,CU16-6
V31.901.558,CU16-6
V9.358.113,CU17-6
V19.754.681,CU17-6
V24.668.943,C6-3
V9.558.250,CU18-6
V30.238.008,CU18-6
V21.851.246,CU19-7
V12.154.684,CU19-7
V28.524.709,CU20-7
V30.027.959,CU22-8
V12.703.703,CU22-8
V7.058.414,CU23-8
V25.090.127,CU23-8
V10.009.228,CU24-8
